Date,Precipitation
2016-07-10,2.4299999999999997
2016-07-11,0.43
2016-07-12,0.11
2016-07-13,0.32
2016-07-14,2.76
2016-07-15,3.38
2016-07-16,4.29
2016-07-17,0.73
2016-07-18,2.35
2016-07-19,2.29
2016-07-20,0.12
2016-07-24,3.66
2016-07-25,29.85
2016-07-26,0.9400000000000001
2016-07-27,0.12
2016-07-28,0.05
2016-07-29,0.060000000000000005
2016-07-30,0.52
2016-07-31,3.92
2016-08-01,8.71
2016-08-02,2.84
2016-08-07,3.34
2016-08-08,0.6600000000000001
2016-08-09,0.5900000000000001
2016-08-10,0.0
2016-08-11,0.09
2016-08-12,0.58
2016-08-13,0.54
2016-08-14,1.02
2016-08-15,1.35
2016-08-16,1.0899999999999999
2016-08-17,0.61
2016-08-18,0.22
2016-08-19,2.86
2016-08-20,0.36
2016-08-21,2.01
2016-08-22,5.26
2016-08-23,2.71
2016-08-24,9.329999999999998
2016-08-25,0.54
2016-08-28,3.0999999999999996
2016-08-29,1.46
2016-08-30,0.07
2016-08-31,3.1799999999999997
2016-09-01,0.03
2016-09-02,0.25
2016-09-03,1.27
2016-09-04,1.3800000000000001
2016-09-05,0.33999999999999997
2016-09-06,1.23
2016-09-07,2.0
2016-09-08,0.4600000000000001
2016-09-09,1.0699999999999998
2016-09-10,1.4
2016-09-11,1.25
2016-09-12,1.54
2016-09-13,2.71
2016-09-14,14.280000000000001
2016-09-15,4.96
2016-09-16,0.8200000000000001
2016-09-17,0.6799999999999999
2016-09-18,0.53
2016-09-19,0.32
2016-09-20,1.03
2016-09-21,1.17
2016-09-22,1.44
2016-09-23,1.57
2016-09-24,0.28
2016-09-25,0.09
2016-09-26,1.67
2016-09-27,1.3599999999999999
2016-09-28,0.13
2016-09-29,2.99
2016-09-30,1.15
2016-10-01,1.4500000000000002
2016-10-02,0.72
2016-10-03,0.6900000000000001
2016-10-04,3.4899999999999998
2016-10-05,0.8200000000000001
2016-10-06,0.16
2016-10-07,0.01
2016-10-08,0.04
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.69
2016-10-12,0.08
2016-10-13,0.08
2016-10-14,0.0
2016-10-15,0.39
2016-10-16,0.0
2016-10-17,0.55
2016-10-18,0.6
2016-10-19,0.16999999999999998
2016-10-20,1.01
2016-10-21,0.32
2016-10-22,1.77
2016-10-23,0.27999999999999997
2016-10-24,0.7899999999999999
2016-10-25,1.1
2016-10-26,0.29000000000000004
2016-10-27,1.8599999999999999
2016-10-28,0.5700000000000001
2016-10-29,0.64
2016-10-30,1.5899999999999999
2016-10-31,1.61
2016-11-01,0.21000000000000002
2016-11-02,0.04
2016-11-03,0.02
2016-11-04,0.06
2016-11-05,0.45
2016-11-06,0.08
2016-11-07,0.18
2016-11-08,1.12
2016-11-09,0.39999999999999997
2016-11-10,0.01
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.15
2016-11-15,0.05
2016-11-16,1.54
2016-11-17,0.06
2016-11-21,3.08
2016-11-22,5.01
2016-11-23,0.67
2016-11-24,1.48
2016-11-25,1.32
2016-11-26,0.51
2016-11-27,0.55
2016-11-28,0.72
2016-11-29,0.43000000000000005
2016-11-30,1.06
2016-12-01,1.77
2016-12-02,2.36
2016-12-03,2.71
2016-12-04,0.8
2016-12-05,3.24
2016-12-06,0.04
2016-12-07,0.38
2016-12-08,0.4600000000000001
2016-12-09,1.85
2016-12-10,0.13
2016-12-11,0.25
2016-12-12,0.05
2016-12-13,0.77
2016-12-14,1.5
2016-12-15,0.26
2016-12-16,0.04
2016-12-19,0.42000000000000004
2016-12-20,0.03
2016-12-21,0.9
2016-12-22,2.4699999999999998
2016-12-23,1.23
2016-12-24,1.62
2016-12-25,0.43
2016-12-26,2.04
2016-12-27,0.24000000000000002
2016-12-28,0.41000000000000003
2016-12-29,2.38
2016-12-30,3.35
2016-12-31,2.14
2017-01-01,0.35
2017-01-02,0.02
2017-01-03,0.0
2017-01-04,0.18
2017-01-05,0.95
2017-01-06,0.7999999999999999
2017-01-07,0.06
2017-01-08,0.06
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.01
2017-01-15,0.01
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.07
2017-01-19,0.02
2017-01-20,0.0
2017-01-21,0.27999999999999997
2017-01-22,1.02
2017-01-23,0.94
2017-01-24,2.25
2017-01-25,3.58
2017-01-26,0.11
2017-01-27,0.06
2017-01-28,0.14
2017-01-29,0.99
2017-01-30,0.05
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-05,0.0
2017-02-06,0.38
2017-02-07,7.4
2017-02-08,1.08
2017-02-09,0.02
2017-02-10,0.0
2017-02-11,11.200000000000001
2017-02-12,10.48
2017-02-13,2.9199999999999995
2017-02-14,0.01
2017-02-15,0.08
2017-02-16,2.2199999999999998
2017-02-19,0.19
2017-02-20,0.0
2017-02-21,0.13
2017-02-22,0.9100000000000001
2017-02-23,0.01
2017-02-24,0.0
2017-02-25,0.15
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.82
2017-03-01,11.620000000000001
2017-03-02,6.56
2017-03-03,2.23
2017-03-04,0.0
2017-03-05,1.21
2017-03-06,0.54
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,1.9600000000000002
2017-03-10,0.29000000000000004
2017-03-11,0.04
2017-03-14,0.06
2017-03-15,0.06
2017-03-16,0.0
2017-03-19,0.0
2017-03-20,0.02
2017-03-21,0.09
2017-03-22,0.0
2017-03-23,0.05
2017-03-24,1.1300000000000001
2017-03-25,1.9700000000000002
2017-03-26,0.0
2017-03-27,0.01
2017-03-28,0.7100000000000001
2017-03-29,0.19
2017-04-01,0.41000000000000003
2017-04-02,0.0
2017-04-03,0.66
2017-04-04,0.15
2017-04-05,0.66
2017-04-06,0.06
2017-04-09,0.0
2017-04-10,0.02
2017-04-11,0.47
2017-04-12,1.08
2017-04-13,1.09
2017-04-14,6.72
2017-04-15,1.7400000000000002
2017-04-16,1.07
2017-04-17,3.0700000000000003
2017-04-18,3.36
2017-04-19,0.2
2017-04-20,0.78
2017-04-21,8.38
2017-04-22,4.960000000000001
2017-04-23,0.45999999999999996
2017-04-24,0.060000000000000005
2017-04-25,0.0
2017-04-26,0.39
2017-04-27,0.42
2017-04-28,4.24
2017-04-29,8.04
2017-04-30,6.42
2017-05-01,0.81
2017-05-02,0.05
2017-05-05,0.38
2017-05-06,0.06
2017-05-07,0.12000000000000001
2017-05-08,3.01
2017-05-09,4.630000000000001
2017-05-10,0.8600000000000001
2017-05-11,0.6
2017-05-12,0.16
2017-05-13,0.24
2017-05-14,1.22
2017-05-15,0.88
2017-05-16,0.42
2017-05-17,0.15000000000000002
2017-05-18,0.85
2017-05-21,0.01
2017-05-22,0.36
2017-05-23,0.71
2017-05-24,3.8899999999999997
2017-05-25,2.22
2017-05-26,0.02
2017-05-27,0.51
2017-05-28,0.41000000000000003
2017-06-01,0.04
2017-06-04,1.15
2017-06-05,0.08
2017-06-06,0.0
2017-06-07,0.01
2017-06-08,0.03
2017-06-11,2.15
2017-06-12,1.75
2017-06-13,1.38
2017-06-14,1.57
2017-06-15,2.71
2017-06-16,0.2
2017-06-17,0.54
2017-06-18,1.42
2017-06-19,0.73
2017-06-20,0.55
2017-06-21,0.51
2017-06-22,0.44000000000000006
2017-06-23,0.6699999999999999
2017-06-24,0.64
2017-06-25,0.6
2017-06-26,0.1
2017-06-27,0.11
2017-06-28,0.03
2017-06-29,0.07
2017-06-30,0.52
2017-07-01,0.26
2017-07-02,0.72
2017-07-03,0.74
2017-07-04,0.15000000000000002
2017-07-05,0.0
2017-07-06,0.02
2017-07-07,0.5
2017-07-08,0.1
2017-07-09,0.2
2017-07-10,0.04
2017-07-11,0.03
2017-07-12,0.36000000000000004
2017-07-13,1.81
2017-07-14,0.9500000000000001
2017-07-15,0.19
2017-07-16,0.81
2017-07-17,0.91
2017-07-18,2.53
2017-07-19,0.41000000000000003
2017-07-20,1.24
2017-07-21,0.13
2017-07-22,4.42
2017-07-23,1.1300000000000001
2017-07-24,3.2699999999999996
2017-07-25,0.61
2017-07-26,0.5
2017-07-27,0.01
2017-07-28,0.77
2017-07-29,0.61
2017-07-30,0.3
2017-07-31,0.0
2017-08-02,0.3
2017-08-03,0.06999999999999999
2017-08-07,0.05
2017-08-08,0.44000000000000006
2017-08-09,0.15
2017-08-10,0.07
2017-08-12,0.14
2017-08-14,0.31
2017-08-15,0.8200000000000001
2017-08-16,0.61
2017-08-17,0.19
2017-08-19,0.09
2017-08-21,0.5800000000000001
2017-08-22,0.5
2017-08-23,0.53
